branch_name,constituency_name,chair_name,chair_email
Broadland and Fakenham,Broadland and Fakenham,Eric Masters,broadlandandfakenham@reformuk.com 
Wokingham,Wokingham,Colin Wright,wokingham@reformuk.com
Wycombe,Wycombe,,
Banbury,Banbury,,
Witney,Witney,Richard Langridge,witney@reformuk.com
Oxford West and Abingdon,Oxford West and Abingdon,James Gunn,oxfordwestandabingdon@reformuk.com
Oxford East,Oxford East,,
Newbury,Newbury,Doug Terry,newbury@reformparty.uk
Reading Central,Reading Central,Andy Williams,readingcentral@reformuk.com
Bracknell,Bracknell,,
Milton Keynes,Milton Keynes Central,Chris Taylor,chair.mk@reformuk.com
Maidenhead,Maidenhead,,
Slough,Slough,,
Windsor,Windsor,,
Spelthorne,Spelthorne,Rory O'Brien,spelthorne@reformuk.com
Runnymede and Weybridge,Runnymede and Weybridge,Stewart Mackay,chair.rwoc@reformuk.com
Esher and Walton,Esher and Walton,,
Epsom and Ewell,Epsom and Ewell,,
Buckingham and Bletchley,Buckingham and Bletchley,,
Aylesbury,Aylesbury,,
Croydon and Sutton,Carshalton and Wallington,Scott Holman,chair.croydonsutton@reformuk.com
Congleton,Congleton,Martin York,congleton@reformuk.com
Wirral,Wirral West,David Burgess-Joyce,wallasey@reformuk.com
Chester South and Eddisbury,Chester South and Eddisbury,Peter Langley,chestersouthandeddisbury@reformuk.com
Manchester,Manchester Rusholme,,
Manchester,Manchester Withington,,
Crewe and Nantwich,Crewe and Nantwich,Nicholas Goulding,nick.goulding@reformparty.uk
Stockport,Stockport,,
Wirral,Wallasey,David Burgess-Joyce,wallasey@reformuk.com
Macclesfield,Macclesfield,,
Luton South and South Bedfordshire,Luton South and South Bedfordshire,Norman McClean,lutonsouth@reformuk.com
Stockport,Cheadle,,
Chester North and Ellesmere Port,Ellesmere Port and Bromborough,Chris Littlewood,"chair.chesternorthellesmere@reformuk.com
"
Wirral,Birkenhead,David Burgess-Joyce,wallasey@reformuk.com
Westmorland and Lonsdale,Westmorland and Lonsdale,James Townley,westmorlandandlonsdale@reformuk.com
Stockport,Hazel Grove,,
Whitehaven and Workington,Whitehaven and Workington,David Surtees,whitehavenandworkington@reformuk.com
Bognor Regis and Littlehampton,Bognor Regis and Littlehampton,Nick Rose,nick.rose@reformparty.uk
Reigate,Reigate,,
Guildford,Guildford,Dennis Saunders,guildford@reformuk.com
Woking,Woking,Richard Barker,woking@reformuk.com
Faversham and Mid Kent,Faversham and Mid Kent,Max Harrison,favershamandmidkent@reformuk.com
Bexhill and Battle,Bexhill and Battle,Ian Gribbin,bexhillandbattle@reformuk.com
Hastings and Rye,Hastings and Rye,,
Tunbridge Wells,Tunbridge Wells,Rob Grindley,tunbridgewells@reformuk.com
Gravesham,Gravesham,Matthew Fraser Moat,gravesham@reformuk.com
Rochester and Strood,Rochester and Strood,Daniel Dabin,rochesterandstrood@reformuk.com
Chatham and Aylesford,Chatham and Aylesford,Thomas J Mallon,Chathamandaylesford@reformuk.com
Gillingham and Rainham,Gillingham and Rainham,Rizvi Rawoof,gillinghamandrainham@reformuk.com
Ashford,Ashford,Brian Collins,chair.ashford@reformuk.com
Surrey Heath,Surrey Heath,,
Folkestone and Hythe,Folkestone and Hythe,Bill Wright,folkestoneandhythe@reformuk.com
Canterbury,Canterbury,,
Herne Bay and Sandwich,Herne Bay and Sandwich,Amelia Randall,hernebayandsandwich@reformuk.com
Isle of wight West,Isle of Wight West,Ian Pickering,isleofwightwest@reformuk.com
Beaconsfield,Beaconsfield,,
Brighton Pavilion,Brighton Pavilion,,
Lewes,Lewes,Mickey Caira,chair.lewes@reformuk.com
Eastbourne,Eastbourne,Mark Ashdown,eastbourne@reformuk.com
Crawley,Crawley,Tim Charters,crawley@reformuk.com
Horsham,Horsham,,
Mid Sussex,Mid Sussex,,
Farnham and Bordon,Farnham and Bordon,Ged Hall,farnhamandbordon@reformuk.com
East Hampshire,East Hampshire,Matthew Kellermann,easthampshire@reformuk.com
Basingstoke,Basingstoke,,
Romsey and Southampton North,Romsey and Southampton North,Paul Barrett,romseyandsouthamptonnorth@reformuk.com
Southampton Test,Southampton Test,John Edwards,southamptontest@reformuk.com
New Forest East,New Forest East,Roy Swales,newforesteast@reformuk.com
Eastleigh,Eastleigh,,
Winchester,Winchester,,
Gosport,Gosport,,
Portsmouth South,Portsmouth South,Mark Zimmer,portsmouthsouth@reformuk.com
Havant,Havant,,
Chichester,Chichester,Teresa de Santis,chichester@reformuk.com
East Worthing and Shoreham,East Worthing and Shoreham,,
Aldershot,Aldershot,Trevor Lloyd-Jones,aldershot@reformuk.com
Hove and Portslade,Hove and Portslade,Martin Hess,hoveandportslade@refromuk.com
Tatton,Tatton,Simon Moorehead,tatton@reformuk.com
Manchester,Manchester Central,,
Wythenshawe and Sale East,Wythenshawe and Sale East,Dan Barker,chair.wythenshawesaleest@reformuk.com
Barrow and Furness,Barrow and Furness,,
Gateshead Central and Whickham,Gateshead Central and Whickham,,
Tynemouth,Tynemouth,,
Newcastle upon Tyne Central and West,Newcastle upon Tyne Central and West,,
Newcastle upon Tyne North,Newcastle upon Tyne North,Dan Astley,chair.newcastlenorth@reformuk.com
Newcastle upon Tyne East and Wallsend,Newcastle upon Tyne East and Wallsend,Janice Richardson,chair.ncleastwallsend@reformuk.com
Sunderland Central,Sunderland Central,Chris Eynon,chair.sunderland@reformuk.com
South Shields,South Shields,Steve Holt,chair.southshields@reformuk.com
City of Durham,City of Durham,Rhys Burriss,chair.cityofdurham@reformuk.com
Redcar,Redcar,John Davies,chair.redcar@reformuk.com
Easington,Easington,Lynn Murphy,chair.easington@reformuk.com
Hartlepool,Hartlepool,Amanda Napper,chair.hartlepool@reformuk.com
Bishop Auckland,Bishop Auckland,Juile-Ann Norman,chair.bishopauckland@reformuk.com
Houghton and Sunderland South,Houghton and Sunderland South,Sam Woods-Brass,chair.houghtonandss@reformuk.com
Newton Aycliffe and Spennymoor,Newton Aycliffe and Spennymoor,John Grant,chair.newtonaycliffespen@reformuk.com
Stockton North,Stockton North,John McDermottroe,stocktonnorth@reformuk.com
Stockton West,Stockton West,,
Hexham,Hexham,Katherine Hales,chair.hexham@reformuk.com
Blaydon and Consett,Blaydon and Consett,Anna Phillips,chair.blaydonconsett@reformuk.com
Cramlington and Killingworth,Cramlington and Killingworth,Gordon Fletcher,chair.cramandkilly@reformuk.com
Hillingdon and Harrow,"Ruislip, Northwood and Pinner",Ian Price,chair.hillingdonharrow@reformuk.com
Croydon and Sutton,Croydon South,Scott Holman,chair.croydonsutton@reformuk.com
Hackney and Islington,Islington North,Iain MacKenzie,chair.hackneyislington@reformuk.com
Hackney and Islington,Islington South and Finsbury,Iain MacKenzie,chair.hackneyislington@reformuk.com
Hackney and Islington,Hackney South and Shoreditch,Iain MacKenzie,chair.hackneyislington@reformuk.com
Hillingdon and Harrow,Harrow East,Ian Price,chair.hillingdonharrow@reformuk.com
Kensington and Chelsea,Chelsea and Fulham,Anthony Goodwin,chair.hfkc@reformuk.com
Bromley,Orpington,Julian Granger,chair.bromley@reformuk.com
Bromley,Bromley and Biggin Hill,Julian Granger,chair.bromley@reformuk.com
Barking and Dagenham,Dagenham and Rainham,Philip Hyde,Romford@reformuk.com
Barking and Dagenham,Romford,Philip Hyde,Romford@reformuk.com
Wandsworth and Merton,Mitcham and Morden,Ben Cronin,chair.merton.w@reformuk.com
Kingston,Kingston and Surbiton,,
Wandsworth and Merton,Wimbledon,Ben Cronin,chair.merton.w@reformuk.com
Richmond,Richmond Park,Alex Starling,chair.randt@reformuk.com
Hillingdon and Harrow,Uxbridge and South Ruislip,Ian Price,chair.hillingdonharrow@reformuk.com
Middlesbrough South and East Cleveland,Middlesbrough South and East Cleveland,Mark Belch,chair.middlesbroughsecleve@reformuk.com 
Darlington,Darlington,Michael Walker,chair.darlington@reformuk.com
Altrincham and Sale West,Altrincham and Sale West,Paul Swansborough,altrinchamandsalewest@reformuk.com
Stalybridge and Hyde,Stalybridge and Hyde,,
Liverpool Wavertree,Liverpool Wavertree,Adam Heatherington,liverpoolwavertree@reformuk.com
Liverpool Garston,Liverpool Garston,,
Knowsley,Knowsley,Alex Hitchmough,Knowsley@reformuk.com
Liverpool Walton,Liverpool Walton,Joseph Doran,liverpoolwalton@reformuk.com
Wigan,Wigan,Lee Moffitt,chair.wigan@reformuk.com
Widnes and Halewood,Widnes and Halewood,Jake Fraser,chair.widneshalewood@reformuk.com
St Helens,St Helens North,Malcolm Webster,chair.sthelens@reformuk.com
